gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2997747148				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/18/96/52/spf00189652.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997719401				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/43/80/spf00164380.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997710243				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/14/51/1/ny_01145101.dzi									Creative Commons	NY
2997666234				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/14/51/0/ny_01145100.dzi									Creative Commons	NY
2997666073				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/1/93/50/ny_01019350.dzi									Creative Commons	NY
2997660735				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/44/0/spf00164400.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997636502				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/4/97/spf00160497.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997634801				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/25/spf00163725.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997634569				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/22/spf00163722.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997629541				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/4/98/spf00160498.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997621092				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/27/spf00160227.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997612498				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/4/99/spf00160499.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997612498				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/4/99/spf00160499_1.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997521619				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/34/spf00160234.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997520614				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/1/81/spf00160181.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997518727				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/44/29/spf00164429.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997518655				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/35/spf00160235.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997516653				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/24/spf00160224.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997514693				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/37/29/spf00163729.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997514665				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/21/13/spf00162113.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997514632				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/2/25/spf00160225.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997513175				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/19/32/96/spf00193296.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997512695				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/44/30/spf00164430.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997483395				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/1/17/spf00160117.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997481402				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/16/0/99/spf00160099.dzi									http://creativecommons.org/licenses/by/4.0/	SPF
2997442823				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/1/18/39/94/ny_01183994.dzi									Creative Commons	NY
2997382015				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/newyork/ny_/v-069-00/95/68/74/ny_v-069-00956874.dzi									Creative Commons	NY
2996965382				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/vies/vies/0/4/60/73/vies00046073.dzi									http://creativecommons.org/licenses/by/4.0/	VIES
2996582297				http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/mbm/mbm/0/35/10/34/mbm00351034.dzi									http://creativecommons.org/licenses/by/4.0/	MBM
2996214387				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/34/10/hufu00073410.dzi									http://creativecommons.org/licenses/by/4.0/	HUFU
2996214385				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/hufu/hufu/0/7/34/9/hufu00073409.dzi									http://creativecommons.org/licenses/by/4.0/	HUFU
2995784070				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/ase/ase/0/2/59/49/ase00025949.dzi									http://creativecommons.org/licenses/by/4.0/	ASE
2995693955				http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/heph/heph/0/1/77/25/heph00017725.dzi									http://creativecommons.org/licenses/by/4.0/	HEPH
2574969779				https://images.cria.org.br/viewer/BHCB054967										
2574969777				https://images.cria.org.br/viewer/BHCB054969										
2574969774				https://images.cria.org.br/viewer/BHCB054968										
2574969765				https://images.cria.org.br/viewer/BHCB054485										
2574969734				https://images.cria.org.br/viewer/BHCB054410										
2574969732				https://images.cria.org.br/viewer/BHCB054959										
2574969719				https://images.cria.org.br/viewer/BHCB054960										
2574969718				https://images.cria.org.br/viewer/BHCB054957										
2574969714				https://images.cria.org.br/viewer/BHCB054488										
2574969713				https://images.cria.org.br/viewer/BHCB054958										
2565912602				https://images.cria.org.br/viewer/SPF00188962										
2565912595				https://images.cria.org.br/viewer/SPF00188900										
2565912587				https://images.cria.org.br/viewer/SPF00188964										
2565912544				https://images.cria.org.br/viewer/SPF00188963										
2565908236				https://images.cria.org.br/viewer/SPF00168321										
2565907306				https://images.cria.org.br/viewer/SPF00188956										
2563084935				https://images.cria.org.br/viewer/BHCB053841										
2563084934				https://images.cria.org.br/viewer/BHCB054172										
2563084927				https://images.cria.org.br/viewer/BHCB053840										
2563084905				https://images.cria.org.br/viewer/BHCB054152										
2563083857				https://images.cria.org.br/viewer/BHCB054159										
2558849605				https://images.cria.org.br/viewer/VIES046073										
2553493649				https://images.cria.org.br/viewer/SPF00188884										
2542594769				https://images.cria.org.br/viewer/BHCB053115										
2542594766				https://images.cria.org.br/viewer/BHCB053176										
2542594757				https://images.cria.org.br/viewer/BHCB053021										
2542594754				https://images.cria.org.br/viewer/BHCB052826										
2542594753				https://images.cria.org.br/viewer/BHCB052982										
2542594751				https://images.cria.org.br/viewer/BHCB053384										
2542594749				https://images.cria.org.br/viewer/BHCB053385										
2542594743				https://images.cria.org.br/viewer/BHCB053389										
2542594739				https://images.cria.org.br/viewer/BHCB052981										
2542594738				https://images.cria.org.br/viewer/BHCB052965										
2542594736				https://images.cria.org.br/viewer/BHCB052874										
2542594733				https://images.cria.org.br/viewer/BHCB052964										
2542594728				https://images.cria.org.br/viewer/BHCB053114										
2542594727				https://images.cria.org.br/viewer/BHCB053020										
2542594724				https://images.cria.org.br/viewer/BHCB052979										
2542594720				https://images.cria.org.br/viewer/BHCB052966										
2542594700				https://images.cria.org.br/viewer/BHCB201167										
2542594685				https://images.cria.org.br/viewer/BHCB201166										
2542594683				https://images.cria.org.br/viewer/BHCB200653										
2542594678				https://images.cria.org.br/viewer/BHCB201168										
2542594676				https://images.cria.org.br/viewer/BHCB200666										
2542594662				https://images.cria.org.br/viewer/BHCB201169										
2542594655				https://images.cria.org.br/viewer/BHCB200658										
2542594621				https://images.cria.org.br/viewer/BHCB200670										
2542594610				https://images.cria.org.br/viewer/BHCB200669										
2542594587				https://images.cria.org.br/viewer/BHCB200673										
2542594584				https://images.cria.org.br/viewer/BHCB200672										
2542594555				https://images.cria.org.br/viewer/BHCB200656										
2542594554				https://images.cria.org.br/viewer/BHCB200654										
2542594552				https://images.cria.org.br/viewer/BHCB200668										
2542594539				https://images.cria.org.br/viewer/BHCB200663										
2542594478				https://images.cria.org.br/viewer/BHCB200665										
2542594431				https://images.cria.org.br/viewer/BHCB200662										
2542594398				https://images.cria.org.br/viewer/BHCB200661										
2542594375				https://images.cria.org.br/viewer/BHCB200657										
2542594358				https://images.cria.org.br/viewer/BHCB200667										
2542594345				https://images.cria.org.br/viewer/BHCB200655										
2521068630				https://images.cria.org.br/viewer/SPF00188865										
2521067625				https://images.cria.org.br/viewer/SPF00188864										
2521065618				https://images.cria.org.br/viewer/SPF00188863										
2521062629				https://images.cria.org.br/viewer/SPF00188866										
2465051194				https://images.cria.org.br/viewer/HUEFS0253010										
2464868106				https://images.cria.org.br/viewer/BHCB052746										
2464863630				https://images.cria.org.br/viewer/BHCB052747										
2452939886				https://images.cria.org.br/viewer/SP122546										
2452927166				https://images.cria.org.br/viewer/SP0397153										
2452925814				https://images.cria.org.br/viewer/SP0397152										
2452923910				https://images.cria.org.br/viewer/SP018293										
2452920523				https://images.cria.org.br/viewer/SP020181										
2452919835				https://images.cria.org.br/viewer/SP012041										
2452919759				https://images.cria.org.br/viewer/SP019800										
2452919615				https://images.cria.org.br/viewer/SP0369837										
2452918392				https://images.cria.org.br/viewer/SP0369814										
2425045970				https://images.cria.org.br/viewer/BHCB051115										
2425045969				https://images.cria.org.br/viewer/BHCB051116										
2313593578				https://images.cria.org.br/viewer/BHCB195501										
2302489694	StillImage			http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/unop/unop/0/0/59/41/unop00005941.dzi									http://creativecommons.org/licenses/by/4.0/	UNOP
2284494363	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/USF/171411.jpg		Senecio vernonioides Sch. Bip. - Brazil, Paraná (BARCODE: 171411) - USF Herbarium								http://creativecommons.org/licenses/by-nc-sa/4.0/	University of South Florida Herbarium (USF)
2274808034				https://images.cria.org.br/viewer/HUEFS0250494										
2274792615				https://images.cria.org.br/viewer/BHCB000534										
2242465797	StillImage	image/jpeg	https://cdn.plantatlas.org/img/specimens/USF/190196.jpg		Lagerstroemia pacari A. St.-Hil. - Brazil, Mato Grosso (BARCODE: 190196) - USF Herbarium								http://creativecommons.org/licenses/by-nc-sa/4.0/	University of South Florida Herbarium (USF)
2236797514				https://images.cria.org.br/viewer/SPF00164400										
1986494116				https://images.cria.org.br/viewer/HUEFS0245464										
1986494116				https://images.cria.org.br/viewer/HUEFS0245464_e1										
1986493938				https://images.cria.org.br/viewer/HUEFS0245462										
1986493936				https://images.cria.org.br/viewer/HUEFS0245461										
1986493936				https://images.cria.org.br/viewer/HUEFS0245461_e1										
1986493931				https://images.cria.org.br/viewer/HUEFS0245459										
1986493931				https://images.cria.org.br/viewer/HUEFS0245459_e1										
1986493929				https://images.cria.org.br/viewer/HUEFS0245463										
1986493929				https://images.cria.org.br/viewer/HUEFS0245463_e1										
1986493912				https://images.cria.org.br/viewer/HUEFS0245418										
